Region,Region Name,Region - RegionId,Variable,Variable Name,Age,Age Name,Scale,Units,2008
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C1,Total,units,Persons,964353
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C2,0 to 4,units,Persons,150872
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C3,5 to 9,units,Persons,151467
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C4,10 to 14,units,Persons,126140
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C5,15 to 19,units,Persons,103804
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C6,20 to 24,units,Persons,82588
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C7,25 to 29,units,Persons,76754
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C8,30 to 34,units,Persons,63134
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C9,35 to 39,units,Persons,56806
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C10,40 to 44,units,Persons,42139
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C11,45 to 49,units,Persons,31794
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C12,50 to 54,units,Persons,24273
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C13,55 to 59,units,Persons,14381
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C14,60 to 64,units,Persons,14311
KN.A2,Upper Nile,SS-NU,KN.B2,"Population, Total (Number)",KN.C22,65+,units,Persons,25890
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C1,Total,units,Persons,525430
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C2,0 to 4,units,Persons,82690
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C3,5 to 9,units,Persons,83744
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C4,10 to 14,units,Persons,71027
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C5,15 to 19,units,Persons,57387
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C6,20 to 24,units,Persons,42521
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C7,25 to 29,units,Persons,38795
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C8,30 to 34,units,Persons,32236
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C9,35 to 39,units,Persons,30228
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C10,40 to 44,units,Persons,22290
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C11,45 to 49,units,Persons,18163
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C12,50 to 54,units,Persons,13627
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C13,55 to 59,units,Persons,8557
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C14,60 to 64,units,Persons,8419
KN.A2,Upper Nile,SS-NU,KN.B5,"Population, Male (Number)",KN.C22,65+,units,Persons,15746
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C1,Total,units,Persons,438923
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C2,0 to 4,units,Persons,68182
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C3,5 to 9,units,Persons,67723
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C4,10 to 14,units,Persons,55113
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C5,15 to 19,units,Persons,46417
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C6,20 to 24,units,Persons,40067
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C7,25 to 29,units,Persons,37959
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C8,30 to 34,units,Persons,30898
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C9,35 to 39,units,Persons,26578
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C10,40 to 44,units,Persons,19849
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C11,45 to 49,units,Persons,13631
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C12,50 to 54,units,Persons,10646
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C13,55 to 59,units,Persons,5824
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C14,60 to 64,units,Persons,5892
KN.A2,Upper Nile,SS-NU,KN.B8,"Population, Female (Number)",KN.C22,65+,units,Persons,10144
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C1,Total,units,Persons,1358602
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C2,0 to 4,units,Persons,207424
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C3,5 to 9,units,Persons,215121
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C4,10 to 14,units,Persons,179544
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C5,15 to 19,units,Persons,146141
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C6,20 to 24,units,Persons,121886
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C7,25 to 29,units,Persons,109109
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C8,30 to 34,units,Persons,90517
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C9,35 to 39,units,Persons,74858
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C10,40 to 44,units,Persons,58131
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C11,45 to 49,units,Persons,45134
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C12,50 to 54,units,Persons,35441
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C13,55 to 59,units,Persons,19593
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C14,60 to 64,units,Persons,20661
KN.A3,Jonglei,SS-JG,KN.B2,"Population, Total (Number)",KN.C22,65+,units,Persons,35042
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C1,Total,units,Persons,734327
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C2,0 to 4,units,Persons,115806
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C3,5 to 9,units,Persons,120885
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C4,10 to 14,units,Persons,101752
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C5,15 to 19,units,Persons,80739
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C6,20 to 24,units,Persons,62047
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C7,25 to 29,units,Persons,52324
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C8,30 to 34,units,Persons,42948
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C9,35 to 39,units,Persons,37196
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C10,40 to 44,units,Persons,28822
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C11,45 to 49,units,Persons,24907
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C12,50 to 54,units,Persons,19713
KN.A3,Jonglei,SS-JG,KN.B5,"Population, Male (Number)",KN.C13,55 to 59,units,Persons,11824
